Item name,Price,Quantity,Category,Image 1,Item id
Kinder Bueno 86g,1.79,26,Chocolate • Sweets • Treats,https://images.sumup.com/img_25CA536F2CE7FBE14B2651E5CE,550e8400-e29b-41d4-a716-446655400064
M&M's Peanut 45g,0.99,20,Chocolate • Sweets • Treats,https://images.sumup.com/img_F159C316534B3BFE38D2875A23,550e8400-e29b-41d4-a716-446655400065
M&M's Peanut 90g,1.79,39,Chocolate • Sweets • Treats,https://images.sumup.com/img_F159C316534B3BFE38D2875A23,550e8400-e29b-41d4-a716-446655400066
M&M's Peanut 165g,2.99,50,Chocolate • Sweets • Treats,https://images.sumup.com/img_F159C316534B3BFE38D2875A23,550e8400-e29b-41d4-a716-446655400067
M&M's Chocolate 45g,0.99,38,Chocolate • Sweets • Treats,https://images.sumup.com/img_5A113136B0A94661FE67EA6C04,550e8400-e29b-41d4-a716-446655400068
M&M's Chocolate 90g,1.79,23,Chocolate • Sweets • Treats,https://images.sumup.com/img_5A113136B0A94661FE67EA6C04,550e8400-e29b-41d4-a716-446655400069
Quality Street 265g,3.99,10,Chocolate • Sweets • Treats,https://images.sumup.com/img_54F523F684A637D882988DBD34,550e8400-e29b-41d4-a716-446655400070
Quality Street 650g,8.99,41,Chocolate • Sweets • Treats,https://images.sumup.com/img_54F523F684A637D882988DBD34,550e8400-e29b-41d4-a716-446655400071
Celebrations 300g,4.99,30,Chocolate • Sweets • Treats,https://images.sumup.com/img_55292BDF7852E0BEE2AB23112B,550e8400-e29b-41d4-a716-446655400072
Celebrations 600g,9.99,27,Chocolate • Sweets • Treats,https://images.sumup.com/img_55292BDF7852E0BEE2AB23112B,550e8400-e29b-41d4-a716-446655400073
Heroes 290g,4.99,10,Chocolate • Sweets • Treats,https://images.sumup.com/img_043298DE5DA2AA15EA6E5D590B,550e8400-e29b-41d4-a716-446655400074
Heroes 600g,9.99,33,Chocolate • Sweets • Treats,https://images.sumup.com/img_043298DE5DA2AA15EA6E5D590B,550e8400-e29b-41d4-a716-446655400075
Roses 290g,4.99,43,Chocolate • Sweets • Treats,https://images.sumup.com/img_5C6F53E266A7BF766D588D6426,550e8400-e29b-41d4-a716-446655400076
Roses 600g,9.99,5,Chocolate • Sweets • Treats,https://images.sumup.com/img_5C6F53E266A7BF766D588D6426,550e8400-e29b-41d4-a716-446655400077
Haribo Starmix 140g,1.19,50,Chocolate • Sweets • Treats,https://images.sumup.com/img_ABE3A9A3AFBDD54883DFB8C0A0,550e8400-e29b-41d4-a716-446655400078
Walkers Ready Salted 32.5g,0.59,25,Crisps • Snacks,https://images.sumup.com/img_B4AC3CEE272A765DE36763C9FC,550e8400-e29b-41d4-a716-446655400079
Walkers Ready Salted 65g,1.09,45,Crisps • Snacks,https://images.sumup.com/img_B4AC3CEE272A765DE36763C9FC,550e8400-e29b-41d4-a716-446655400080
Walkers Ready Salted 150g,2.49,22,Crisps • Snacks,https://images.sumup.com/img_B4AC3CEE272A765DE36763C9FC,550e8400-e29b-41d4-a716-446655400081
Walkers Cheese & Onion 32.5g,0.59,33,Crisps • Snacks,https://images.sumup.com/img_C8F30A6E742F8F5421399B1E3D,550e8400-e29b-41d4-a716-446655400082
Walkers Cheese & Onion 65g,1.09,36,Crisps • Snacks,https://images.sumup.com/img_C8F30A6E742F8F5421399B1E3D,550e8400-e29b-41d4-a716-446655400083
Walkers Cheese & Onion 150g,2.49,23,Crisps • Snacks,https://images.sumup.com/img_C8F30A6E742F8F5421399B1E3D,550e8400-e29b-41d4-a716-446655400084
Walkers Salt & Vinegar 32.5g,0.59,16,Crisps • Snacks,https://images.sumup.com/img_3371477CA6A0C16D3DF7C676C7,550e8400-e29b-41d4-a716-446655400085
Walkers Salt & Vinegar 65g,1.09,25,Crisps • Snacks,https://images.sumup.com/img_3371477CA6A0C16D3DF7C676C7,550e8400-e29b-41d4-a716-446655400086
Walkers Salt & Vinegar 150g,2.49,2,Crisps • Snacks,https://images.sumup.com/img_3371477CA6A0C16D3DF7C676C7,550e8400-e29b-41d4-a716-446655400087
Pringles Original 165g,2.29,49,Crisps • Snacks,https://images.sumup.com/img_CFD86ABD22E85B7AC54B17F85C,550e8400-e29b-41d4-a716-446655400088
Pringles Original 200g,2.79,37,Crisps • Snacks,https://images.sumup.com/img_CFD86ABD22E85B7AC54B17F85C,550e8400-e29b-41d4-a716-446655400089
Pringles Sour Cream 165g,2.29,27,Crisps • Snacks,https://images.sumup.com/img_DFF834782586CE5AAD491D1A05,550e8400-e29b-41d4-a716-446655400090
Pringles Sour Cream 200g,2.79,7,Crisps • Snacks,https://images.sumup.com/img_DFF834782586CE5AAD491D1A05,550e8400-e29b-41d4-a716-446655400091
Doritos Cool Original 150g,1.89,24,Crisps • Snacks,https://images.sumup.com/img_97C7BCD410BEC1CF4745B53CB9,550e8400-e29b-41d4-a716-446655400092
Doritos Cool Original 180g,2.49,8,Crisps • Snacks,https://images.sumup.com/img_97C7BCD410BEC1CF4745B53CB9,550e8400-e29b-41d4-a716-446655400093
Doritos Tangy Cheese 150g,1.89,46,Crisps • Snacks,https://images.sumup.com/img_5963EBD6242D07C55716FBB8CF,550e8400-e29b-41d4-a716-446655400094
Doritos Tangy Cheese 180g,2.49,31,Crisps • Snacks,https://images.sumup.com/img_5963EBD6242D07C55716FBB8CF,550e8400-e29b-41d4-a716-446655400095
Cheetos Twisted 85g,1.39,27,Crisps • Snacks,https://images.sumup.com/img_A976442AA49DAF29CFDE69698C,550e8400-e29b-41d4-a716-446655400096
Kettle Chips Sea Salt 150g,2.19,28,Crisps • Snacks,https://images.sumup.com/img_369B3FBCC421E0D3B0EAF3A7DF,550e8400-e29b-41d4-a716-446655400097
Kettle Chips Mature Cheddar 150g,2.19,26,Crisps • Snacks,https://images.sumup.com/img_E1CC3C3F5728AF2D3BC4C6A077,550e8400-e29b-41d4-a716-446655400098
McCoy's Salt & Malt Vinegar 85g,1.49,22,Crisps • Snacks,https://images.sumup.com/img_3AD98CEE69157A0FB1A43CC492,550e8400-e29b-41d4-a716-446655400099
Tyrrells Sea Salt 150g,2.49,2,Crisps • Snacks,https://images.sumup.com/img_2381D4D584DB08442B5BCEF8B8,550e8400-e29b-41d4-a716-446655400100
19 Crimes Chardonnay White Wine 750g,11.29,48,Wines,https://images.sumup.com/img_18142A364AB4862EB840BB3903,550e8400-e29b-41d4-a716-446655400101
19 Crimes Red Blend 750g,11.29,29,Wines,https://images.sumup.com/img_0E202F72DC9F1C1496484CA095,550e8400-e29b-41d4-a716-446655400102
Yellowtail Shiraz 750g,8.99,42,Wines,https://images.sumup.com/img_FDE61DA14E9759AD6FB777684E,550e8400-e29b-41d4-a716-446655400103
Yellowtail Chardonnay 750g,8.99,6,Wines,https://images.sumup.com/img_64965A27991BFB6BE21ABA371F,550e8400-e29b-41d4-a716-446655400104
Barefoot Merlot 750g,7.99,50,Wines,https://images.sumup.com/img_C774D7516D75816B4C64EC1063,550e8400-e29b-41d4-a716-446655400105
Barefoot Pinot Grigio 750g,7.99,5,Wines,https://images.sumup.com/img_1234576F9F3FF85C71A247485B,550e8400-e29b-41d4-a716-446655400106
Hardy's VR Shiraz 750g,6.99,49,Wines,https://images.sumup.com/img_76124B14677A959A75B296F4B8,550e8400-e29b-41d4-a716-446655400107
Blossom Hill White 750g,5.99,39,Wines,https://images.sumup.com/img_58BF1554BEE420F9AA21988E66,550e8400-e29b-41d4-a716-446655400108
Echo Falls White Zinfandel 750g,6.49,3,Wines,https://images.sumup.com/img_CD00AC3E6E8AEC4A5DE84A6000,550e8400-e29b-41d4-a716-446655400109
Lambrini Original 750g,3.99,48,Wines,https://images.sumup.com/img_1035B2AF82C969A78B6563E9F8,550e8400-e29b-41d4-a716-446655400110
Stella Artois Lager 440g,1.89,37,Beers,https://images.sumup.com/img_421021917A91DB3C8ACF0BAD89,550e8400-e29b-41d4-a716-446655400111
Stella Artois Lager 660g,2.99,39,Beers,https://images.sumup.com/img_421021917A91DB3C8ACF0BAD89,550e8400-e29b-41d4-a716-446655400112
Budweiser Lager 440g,1.69,18,Beers,https://images.sumup.com/img_BC0787B9CBB166DBF2DD1E2D98,550e8400-e29b-41d4-a716-446655400113
Budweiser Lager 660g,2.79,39,Beers,https://images.sumup.com/img_BC0787B9CBB166DBF2DD1E2D98,550e8400-e29b-41d4-a716-446655400114
Guinness Draught 440g,2.19,5,Beers,https://images.sumup.com/img_53DE3D8517C777EA4AB2A1DF63,550e8400-e29b-41d4-a716-446655400115
Guinness Draught 500g,2.59,19,Beers,https://images.sumup.com/img_53DE3D8517C777EA4AB2A1DF63,550e8400-e29b-41d4-a716-446655400116
Heineken Lager 440g,1.99,19,Beers,https://images.sumup.com/img_3B90142E9D6C3BA424F85FFC40,550e8400-e29b-41d4-a716-446655400117
Heineken Lager 650g,2.89,20,Beers,https://images.sumup.com/img_3B90142E9D6C3BA424F85FFC40,550e8400-e29b-41d4-a716-446655400118
Corona Extra 330g,1.99,25,Beers,https://images.sumup.com/img_0286381C369C1F043B25D7F053,550e8400-e29b-41d4-a716-446655400119
Corona Extra 355g,2.19,2,Beers,https://images.sumup.com/img_0286381C369C1F043B25D7F053,550e8400-e29b-41d4-a716-446655400120
Carlsberg Pilsner 440g,1.79,19,Beers,https://images.sumup.com/img_072E9CA7579AB3DA23DB963FF5,550e8400-e29b-41d4-a716-446655400121
Carlsberg Pilsner 568g,2.49,12,Beers,https://images.sumup.com/img_072E9CA7579AB3DA23DB963FF5,550e8400-e29b-41d4-a716-446655400122
Peroni Nastro Azzurro 330g,1.99,6,Beers,https://images.sumup.com/img_FC6147BC2BDAFC6AC6208E37EE,550e8400-e29b-41d4-a716-446655400123
Peroni Nastro Azzurro 660g,3.49,34,Beers,https://images.sumup.com/img_FC6147BC2BDAFC6AC6208E37EE,550e8400-e29b-41d4-a716-446655400124
San Miguel Lager 330g,1.89,13,Beers,https://images.sumup.com/img_583218DA16DFBB8C9E902ACF54,550e8400-e29b-41d4-a716-446655400125
San Miguel Lager 660g,3.29,26,Beers,https://images.sumup.com/img_583218DA16DFBB8C9E902ACF54,550e8400-e29b-41d4-a716-446655400126
Desperados Tequila Beer 330g,1.99,46,Beers,https://images.sumup.com/img_E04858329025875770F1B32167,550e8400-e29b-41d4-a716-446655400127
Desperados Tequila Beer 650g,3.49,45,Beers,https://images.sumup.com/img_E04858329025875770F1B32167,550e8400-e29b-41d4-a716-446655400128
Old Speckled Hen 500g,2.29,26,Beers,https://images.sumup.com/img_033231E2E54ABF8E280A88CD42,550e8400-e29b-41d4-a716-446655400129
Jack Daniels Tennessee Whiskey 700g,25.99,30,Spirits,https://images.sumup.com/img_B67E08FFDE3373ACAD347AE344,550e8400-e29b-41d4-a716-446655400130
Smirnoff Vodka 350g,13.99,38,Spirits,https://images.sumup.com/img_62B45597B9E9FFD63D6D36E17C,550e8400-e29b-41d4-a716-446655400131
Smirnoff Vodka 700g,18.99,19,Spirits,https://images.sumup.com/img_62B45597B9E9FFD63D6D36E17C,550e8400-e29b-41d4-a716-446655400132
Gordon's London Dry Gin 350g,11.99,50,Spirits,https://images.sumup.com/img_B180E22086BFDED24447FB292A,550e8400-e29b-41d4-a716-446655400133
Gordon's London Dry Gin 700g,16.99,47,Spirits,https://images.sumup.com/img_B180E22086BFDED24447FB292A,550e8400-e29b-41d4-a716-446655400134
Bacardi Carta Blanca Rum 350g,11.99,48,Spirits,https://images.sumup.com/img_CEC8CE923866DEC847F2BB8830,550e8400-e29b-41d4-a716-446655400135
Bacardi Carta Blanca Rum 700g,17.49,23,Spirits,https://images.sumup.com/img_CEC8CE923866DEC847F2BB8830,550e8400-e29b-41d4-a716-446655400136
Captain Morgan Spiced Gold Rum 350g,11.99,20,Spirits,https://images.sumup.com/img_FDF42E1214194FAAB2CFDEA9A2,550e8400-e29b-41d4-a716-446655400137
Captain Morgan Spiced Gold Rum 700g,16.99,43,Spirits,https://images.sumup.com/img_FDF42E1214194FAAB2CFDEA9A2,550e8400-e29b-41d4-a716-446655400138
Jameson Irish Whiskey 350g,15.99,30,Spirits,https://images.sumup.com/img_DD31B2C25B6788216F812511E4,550e8400-e29b-41d4-a716-446655400139
Jameson Irish Whiskey 700g,24.99,0,Spirits,https://images.sumup.com/img_DD31B2C25B6788216F812511E4,550e8400-e29b-41d4-a716-446655400140
Famous Grouse Scotch Whisky 700g,19.99,2,Spirits,https://images.sumup.com/img_E8C0ED8345E4CC9C3A931191E0,550e8400-e29b-41d4-a716-446655400141
Bells Original Whisky 700g,18.99,10,Spirits,https://images.sumup.com/img_5721A4F9A0B714489B7CF5A65E,550e8400-e29b-41d4-a716-446655400142
Glenfiddich 12 Year Old 700g,34.99,36,Spirits,https://images.sumup.com/img_607E82DA02C35C0CAD04828DD8,550e8400-e29b-41d4-a716-446655400143
Absolut Vodka 700g,19.99,38,Spirits,https://images.sumup.com/img_BF535C11E8000B113A342D5DD1,550e8400-e29b-41d4-a716-446655400144
Baileys Original Irish Cream 350g,9.99,36,Liqueurs,https://images.sumup.com/img_FBB9468089CBC8084941C62C8F,550e8400-e29b-41d4-a716-446655400145
Baileys Original Irish Cream 700g,15.99,18,Liqueurs,https://images.sumup.com/img_FBB9468089CBC8084941C62C8F,550e8400-e29b-41d4-a716-446655400146
Baileys Strawberries & Cream 700g,15.99,11,Liqueurs,https://images.sumup.com/img_F1FEC854FDB1F78FEDF78DB73F,550e8400-e29b-41d4-a716-446655400147
Malibu Caribbean Rum 700g,15.99,3,Liqueurs,https://images.sumup.com/img_6B7694FFCE42A6CDF71C207CB0,550e8400-e29b-41d4-a716-446655400148
Disaronno Amaretto 700g,19.99,2,Liqueurs,https://images.sumup.com/img_C2D65B7C9FC81BFE595F052FE5,550e8400-e29b-41d4-a716-446655400149
Jagermeister 350g,12.99,8,Liqueurs,https://images.sumup.com/img_1D07836EBC513904D6A17DC6C7,550e8400-e29b-41d4-a716-446655400150
Jagermeister 700g,21.99,43,Liqueurs,https://images.sumup.com/img_1D07836EBC513904D6A17DC6C7,550e8400-e29b-41d4-a716-446655400151
Kahlua Coffee Liqueur 700g,16.99,31,Liqueurs,https://images.sumup.com/img_74621E65CB55670C992D15A2FB,550e8400-e29b-41d4-a716-446655400152
Tia Maria Coffee Liqueur 700g,15.99,0,Liqueurs,https://images.sumup.com/img_3C839E4C2A9A8CD557CCF67656,550e8400-e29b-41d4-a716-446655400153
Nescafe Gold Blend 100g,5.99,49,Coffee • Tea,https://images.sumup.com/img_BF24D8ABC25AF70214E5CDE6CC,550e8400-e29b-41d4-a716-446655400154
Nescafe Gold Blend 200g,9.99,17,Coffee • Tea,https://images.sumup.com/img_BF24D8ABC25AF70214E5CDE6CC,550e8400-e29b-41d4-a716-446655400155
Nescafe Original 100g,4.99,31,Coffee • Tea,https://images.sumup.com/img_BAD294475EC2C34EF6D96DEC5B,550e8400-e29b-41d4-a716-446655400156
Nescafe Original 200g,8.99,3,Coffee • Tea,https://images.sumup.com/img_BAD294475EC2C34EF6D96DEC5B,550e8400-e29b-41d4-a716-446655400157
Douwe Egberts Pure Gold 95g,5.49,33,Coffee • Tea,https://images.sumup.com/img_5983F61B3F26282ED13BE0F788,550e8400-e29b-41d4-a716-446655400158
Douwe Egberts Pure Gold 190g,9.49,49,Coffee • Tea,https://images.sumup.com/img_5983F61B3F26282ED13BE0F788,550e8400-e29b-41d4-a716-446655400159
Kenco Smooth 100g,5.99,46,Coffee • Tea,https://images.sumup.com/img_CF63F33360A765C5D09249DAA2,550e8400-e29b-41d4-a716-446655400160
Kenco Smooth 200g,9.99,25,Coffee • Tea,https://images.sumup.com/img_CF63F33360A765C5D09249DAA2,550e8400-e29b-41d4-a716-446655400161
Nestle Coffee Mate 400g,3.99,25,Coffee • Tea,https://images.sumup.com/img_6BA2A4398F847E4980A6B21DA7,550e8400-e29b-41d4-a716-446655400162
Nestle Coffee Mate 500g,4.99,7,Coffee • Tea,https://images.sumup.com/img_6BA2A4398F847E4980A6B21DA7,550e8400-e29b-41d4-a716-446655400163
PG Tips Tea Bags 80g,2.99,21,Coffee • Tea,https://images.sumup.com/img_A3FE915F04AE63E4E23CA46995,550e8400-e29b-41d4-a716-446655400164
PG Tips Tea Bags 160g,4.99,7,Coffee • Tea,https://images.sumup.com/img_A3FE915F04AE63E4E23CA46995,550e8400-e29b-41d4-a716-446655400165
PG Tips Tea Bags 240g,6.99,1,Coffee • Tea,https://images.sumup.com/img_A3FE915F04AE63E4E23CA46995,550e8400-e29b-41d4-a716-446655400166
Tetley Tea Bags 80g,2.79,3,Coffee • Tea,https://images.sumup.com/img_25F8AC222BAE5B6D03247DEF61,550e8400-e29b-41d4-a716-446655400167
Tetley Tea Bags 160g,4.79,22,Coffee • Tea,https://images.sumup.com/img_25F8AC222BAE5B6D03247DEF61,550e8400-e29b-41d4-a716-446655400168
